자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
SPB-23976,2019.11.4 19:15,00101,(구)합정동 주민센터,3,2019.11.4 19:46,00101,(구)합정동 주민센터,3,30,2120
SPB-04641,2019.11.4 19:52,00105,합정역 5번출구 앞,2,2019.11.4 19:59,00101,(구)합정동 주민센터,3,6,1020
SPB-14959,2019.11.4 19:55,00151,망원1동주민센터,4,2019.11.4 20:54,00101,(구)합정동 주민센터,2,57,5200
SPB-16645,2019.11.4 21:07,00826,서울역 서부교차로2,18,2019.11.4 21:33,00101,(구)합정동 주민센터,2,26,6850
SPB-04641,2019.11.4 21:33,00101,(구)합정동 주민센터,3,2019.11.4 21:42,00101,(구)합정동 주민센터,1,8,0
SPB-12220,2019.11.4 21:41,00432,마포중앙도서관,1,2019.11.4 21:52,00101,(구)합정동 주민센터,3,9,1840
SPB-13543,2019.11.4 21:19,00121,마포소방서 앞,14,2019.11.4 22:06,00101,(구)합정동 주민센터,1,47,3430
SPB-06676,2019.11.4 22:04,00151,망원1동주민센터,5,2019.11.4 22:12,00101,(구)합정동 주민센터,1,6,1040
SPB-23824,2019.11.4 22:18,00104,합정역 1번출구 앞,2,2019.11.4 22:23,00101,(구)합정동 주민센터,5,5,780
SPB-24084,2019.11.4 22:23,00103,망원역 2번출구 앞,4,2019.11.4 22:40,00101,(구)합정동 주민센터,1,15,750
SPB-11840,2019.11.4 22:40,00104,합정역 1번출구 앞,7,2019.11.4 22:47,00101,(구)합정동 주민센터,5,7,870
SPB-08884,2019.11.4 22:40,00104,합정역 1번출구 앞,1,2019.11.4 22:47,00101,(구)합정동 주민센터,1,7,1120
SPB-22099,2019.11.4 22:33,00128,신촌역(2호선) 1번출구 옆,6,2019.11.4 22:52,00101,(구)합정동 주민센터,3,18,3010
SPB-22641,2019.11.4 22:26,00391,정동길입구,5,2019.11.4 23:10,00101,(구)합정동 주민센터,2,43,6340
SPB-09543,2019.11.4 23:32,00102,망원역 1번출구 앞,8,2019.11.4 23:42,00101,(구)합정동 주민센터,1,9,1140
SPB-14426,2019.11.5 00:08,00109,제일빌딩 앞,10,2019.11.5 00:16,00101,(구)합정동 주민센터,1,7,1410
SPB-06938,2019.11.5 00:37,00306,광화문역 7번출구 앞,4,2019.11.5 01:11,00101,(구)합정동 주민센터,4,34,8160
SPB-07062,2019.11.5 01:21,00151,망원1동주민센터,10,2019.11.5 01:27,00101,(구)합정동 주민센터,3,5,1050
SPB-12641,2019.11.5 01:34,00102,망원역 1번출구 앞,12,2019.11.5 01:41,00101,(구)합정동 주민센터,3,6,1110
SPB-23475,2019.11.5 01:49,00103,망원역 2번출구 앞,13,2019.11.5 01:55,00101,(구)합정동 주민센터,1,5,740
SPB-22450,2019.11.5 02:06,00106,합정역 7번출구 앞,4,2019.11.5 02:11,00101,(구)합정동 주민센터,3,5,480
SPB-13900,2019.11.5 09:16,00103,망원역 2번출구 앞,6,2019.11.5 09:23,00101,(구)합정동 주민센터,2,6,1060
SPB-14571,2019.11.5 09:09,00438,성산2-1 공영주차장,2,2019.11.5 09:27,00101,(구)합정동 주민센터,5,17,3880
SPB-14571,2019.11.5 09:52,00104,합정역 1번출구 앞,2,2019.11.5 09:57,00101,(구)합정동 주민센터,1,5,1130
SPB-13900,2019.11.5 09:43,00101,(구)합정동 주민센터,2,2019.11.5 10:27,00101,(구)합정동 주민센터,1,43,4810
SPB-02659,2019.11.5 11:44,00113,홍대입구역 2번출구 앞,25,2019.11.5 11:57,00101,(구)합정동 주민센터,1,12,1770
SPB-14784,2019.11.5 13:02,00152,마포구민체육센터 앞,21,2019.11.5 13:19,00101,(구)합정동 주민센터,5,17,1790
SPB-06274,2019.11.5 12:54,00102,망원역 1번출구 앞,15,2019.11.5 13:26,00101,(구)합정동 주민센터,4,32,2440
SPB-20864,2019.11.5 13:18,00111,상수역 2번출구 앞,10,2019.11.5 13:36,00101,(구)합정동 주민센터,1,16,3680
SPB-14919,2019.11.5 12:53,00181,망원초록길 입구,6,2019.11.5 13:46,00101,(구)합정동 주민센터,1,52,3780
SPB-05318,2019.11.5 13:35,00427,성산시영아파트,2,2019.11.5 13:51,00101,(구)합정동 주민센터,3,15,3210
SPB-06770,2019.11.5 13:32,00125,서강대 남문 옆,6,2019.11.5 13:53,00101,(구)합정동 주민센터,1,21,3570
SPB-12842,2019.11.5 15:30,00113,홍대입구역 2번출구 앞,22,2019.11.5 15:50,00101,(구)합정동 주민센터,4,18,1860
SPB-12842,2019.11.5 15:56,00101,(구)합정동 주민센터,4,2019.11.5 16:03,00101,(구)합정동 주민센터,2,6,700
