,자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간,이용거리
88,SPB-12120,2019.11.2 20:30,419,홈플러스 앞,15,2019.11.2 21:14,101,(구)합정동 주민센터,5,44,4200
89,SPB-03614,2019.11.2 20:28,419,홈플러스 앞,13,2019.11.2 21:15,101,(구)합정동 주민센터,3,46,5720
90,SPB-06590,2019.11.2 21:00,182,망원2빗물펌프장 앞,2,2019.11.2 21:23,101,(구)합정동 주민센터,1,22,2580
91,SPB-07497,2019.11.2 21:22,3102,연희삼거리,9,2019.11.2 21:41,101,(구)합정동 주민센터,5,17,3410
92,SPB-22287,2019.11.2 22:56,112,극동방송국 앞,2,2019.11.2 23:09,101,(구)합정동 주민센터,2,12,1610
93,SPB-23827,2019.11.2 23:14,113,홍대입구역 2번출구 앞,11,2019.11.2 23:26,101,(구)합정동 주민센터,3,11,1850
94,SPB-11003,2019.11.2 23:45,102,망원역 1번출구 앞,9,2019.11.2 23:52,101,(구)합정동 주민센터,2,6,970
95,SPB-09782,2019.11.2 23:35,129,신촌역(2호선) 6번출구 옆,2,2019.11.2 23:55,101,(구)합정동 주민센터,5,18,3080
96,SPB-17282,2019.11.2 23:56,113,홍대입구역 2번출구 앞,11,2019.11.3 00:07,101,(구)합정동 주민센터,3,11,2270
97,SPB-22781,2019.11.2 23:26,113,홍대입구역 2번출구 앞,10,2019.11.3 00:09,101,(구)합정동 주민센터,5,42,4630
98,SPB-11651,2019.11.2 23:54,228,선유도역 3번출구 앞,8,2019.11.3 00:09,101,(구)합정동 주민센터,3,15,2290
99,SPB-17117,2019.11.3 00:08,102,망원역 1번출구 앞,10,2019.11.3 00:17,101,(구)합정동 주민센터,2,9,1110
100,SPB-22287,2019.11.3 08:56,101,(구)합정동 주민센터,2,2019.11.3 09:28,101,(구)합정동 주민센터,1,30,1410
101,SPB-01372,2019.11.3 09:48,182,망원2빗물펌프장 앞,7,2019.11.3 10:48,101,(구)합정동 주민센터,4,59,4370
102,SPB-15238,2019.11.3 10:29,139,연세대 정문 건너편,12,2019.11.3 10:53,101,(구)합정동 주민센터,2,24,3820
